OBJECTID,PARK_NUMBER,PARK_NAME,SAP_ASSET_ID,HOUSE_NUMBER,STREET_ADDRESS,SUBURB,POST_CODE,LONG,LAT,SHAPE_Length,SHAPE_Area
66,D0216,FREDERICK ANNAND PARK,B-RE-1771,632,WEBSTER ROAD,CHERMSIDE WEST,4032,153.019559434004,-27.3795613082572,1151.30194265382,31892.2262430391
67,D0217,ASPLEY REST PARK,B-RE-1770,1526,GYMPIE ROAD,CARSELDINE,4034,153.014622633895,-27.3573273834017,1514.79393509263,19533.495237536
68,D0218,STANLEY DAY PARK,B-RE-1769,103,GRAND STREET,BALD HILLS,4036,153.016091777756,-27.3213104664468,1530.50088417453,112049.354175817
69,D0219,JOHN STEWART MEMORIAL PARK,B-RE-1768,2019,GYMPIE ROAD,BALD HILLS,4036,153.008933240335,-27.3265849336985,583.182539610476,7927.40337863637
70,D0220,BARUNGWARRA BUSHLAND RESERVE,B-RE-1767,98,BALD HILLS-BURPENGARY ROAD,BALD HILLS,4036,153.01403156441,-27.3035882841075,1268.98388488165,38573.5078067076
71,D0001,QUANDONG PARK,B-RE-1820,68,QUANDONG STREET,ASHGROVE,4060,152.999362275,-27.43677588,876.005759753476,17264.2449130303
72,D0002,GREENE PARK,B-RE-1790,2,GLENORA STREET,WYNNUM,4178,153.172786369026,-27.4360713836189,441.214479409469,8947.90489828668
73,D0003,PRIMROSE PARK,B-RE-1818,2280,WYNNUM ROAD,WYNNUM WEST,4178,153.157722493345,-27.4416642617542,580.680814055521,14688.6707069725
74,D0004,JACARANDA PARK,B-RE-1817,406,BRISBANE CORSO,YERONGA,4104,153.004495638028,-27.5079138383535,331.002387195834,7242.63132001872
75,D0005,NICHOLAS PARK,B-RE-1816,15,TANDARA STREET,THE GAP,4061,152.948599030127,-27.4480556615846,777.691075329301,17088.80930457
76,D0006,KITCHENER PARK,B-RE-1815,42,BRIDGE STREET,WYNNUM,4178,153.167093554403,-27.4456449541668,1318.38133134132,90326.2238858933
77,D0007,DITTMER PARK,B-RE-1814,1793,LOGAN ROAD,UPPER MOUNT GRAVATT,4122,153.077612602643,-27.5516089618794,1164.13653879871,77421.2313177969
78,D0008,MUNGO SCOTT PARK,B-RE-1813,154,HANDFORD ROAD,ZILLMERE,4034,153.038205025886,-27.3533935369289,701.784955462716,30422.867008958
79,D0009,GIRAWEEN PARK,B-RE-0021,322,VERNEY ROAD,GRACEVILLE,4075,152.988390855547,-27.5215167269924,411.645826166495,9676.07792290337
80,D0010,FAULKNER PARK,B-RE-1812,183,LEYBOURNE STREET,GRACEVILLE,4075,152.984073720976,-27.5178751130767,2299.62424888896,114892.753925825
81,D0011,GEORGE SCARLETT PARK,B-RE-1811,101,PRATTEN STREET,CORINDA,4075,152.984517339549,-27.5488501630024,692.071101337177,28369.6285834931
82,D0012,CAWONGA PARK,B-RE-1810,72,LINCOLN STREET,OXLEY,4075,152.975841987847,-27.5544273289202,447.941001295678,12410.6025033618
83,D0013,KEONG PARK,B-RE-1809,38,APPLEBY ROAD,STAFFORD,4053,153.006756187101,-27.4072171155173,1015.43384225808,47250.286782604
84,D0014,FALLON PARK,B-RE-1808,30,FALLON STREET,EVERTON PARK,4053,152.990417372015,-27.4045366264137,734.986015745336,22537.9562285003
85,D0015,KEATING PARK,B-RE-1807,60,STAMFORD ROAD,INDOOROOPILLY,4068,152.974501181117,-27.4996536376439,595.912792339072,12400.134128222
86,D0016,RILATT PARK,B-RE-1806,69,RILATT STREET,WAVELL HEIGHTS,4012,153.047702909264,-27.3915161269419,509.738472673905,12453.6959121424
87,D0017,FENWICK PARK,B-RE-1805,682,SAMFORD ROAD,MITCHELTON,4053,152.971188560522,-27.4125912034037,547.981818164327,17605.9951650041
88,D0018,BANNISTER PARK,B-RE-1804,116,GERLER ROAD,HENDRA,4011,153.070126729754,-27.4172967290361,891.184839578951,43051.2929691769
89,D0019,THE BEIRNE PARK,B-RE-1803,77,GERLER ROAD,HENDRA,4011,153.068948197983,-27.4191829452453,427.712036407201,11396.8339490005
90,D0020,W. A. JOLLY PARK,B-RE-1802,50,WESLEY STREET,LUTWYCHE,4030,153.030343980554,-27.4242582553959,600.998667240677,16013.7152552342
